risk_levels,prior_risk,TRS_if_healthy,TRS_if_sick,GRS_if_healthy,GRS_if_sick
0.81,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.82,0.009238240000000,0.000000000000000,0.001588660000000,0.000000000000000,0.000000000000000
0.83,0.000000000000000,0.000943000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.84,0.009697900000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.85,0.004140920000000,0.000000000000000,0.000037390000000,0.000000000000000,0.000000000000000
0.86,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.87,0.002485150000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.88,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.89,0.000298590000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.9,0.001319130000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.91,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.92,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.93,0.009627310000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.94,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.95,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.96,0.004416230000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.97,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.98,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.99,0.001772070000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
